Start Time,End Time,First Name,Last Name,Phone,Email,Type,Calendar,Appointment Price,Paid?,Amount Paid Online,Certificate Code,Notes,Date Scheduled,Label,Scheduled By,"Име на компанията, в която работите | Name of the company you work for  ",Служебен имейл | Work email  ,Предпочитани платформи | Preferred platforms  ,Appointment ID
"December 22, 2021 11:00","December 22, 2021 11:50",Lexi,Webster,891822213,lexi.webster@msn.com,iNdigo | Nexern | Conzap: Онлайн тренинг за лидери | Online leadership training,Валентинка Петкова | Valentinaka Petkova,0,no,0,,,2021-12-01,,a client ,iNdigo,l.webster@indigo.com,Viber,720217722
"December 22, 2021 11:30","December 22, 2021 12:20",Царевна,Чупетловска,891202521,carevna.chupetlovska@gmail.com,BlueNova: Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-11-01,,a client ,BlueNova,carevna.chupetlovska@gmail.com,Zoom,701002210
"December 22, 2021 13:30","December 22, 2021 14:20",Кис,Коритарова,882228908,kis.koritarova@yahoo.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,,0,no,0,,,2021-11-30,,a client ,BlueNova,kis.koritarova@yahoo.com,Zoom,719365268
"December 22, 2021 17:00","December 22, 2021 17:50",Кръстанка,Коритарова,885881182,krastanka.koritarova@abv.bg,BlueNova | Leadership training in person | Тренинг за лидери на живо,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-11-26,,a client ,BlueNova,k.koritarova@bluenova.com,,717038864
"December 22, 2021 17:30","December 22, 2021 18:20",Берислав,Иликьов,899982102,berislav.ilikaov@mail.bg,Spark Innovations: Online leadership training | Онлайн тренинг за лидери,Радослава Димитрова | Radoslava Dimitrova,0,no,0,,,2021-12-20,,a client ,Spark Innovations,b.ilikaov@spark.innovations.com,Zoom,732328685
"December 22, 2021 19:00","December 22, 2021 19:50",Charlie,Santana,889238292,charlie.santana@msn.com,BlueNova | Leadership training in person | Тренинг за лидери на живо,Мария Георгиева | Maria Georgieva,0,no,0,,,2021-12-09,,a trainer,,,,725789094
"December 22, 2021 20:00","December 22, 2021 20:50",Ansley,Miller,,ansley.miller@yandex.ru,QuantumPeak: Онлайн тренинг за лидери | Online leadership training,Мария Георгиева | Maria Georgieva,0,no,0,,,2021-12-16,,a trainer,,,,730130272
"December 23, 2021 10:00","December 23, 2021 10:50",Мелания,Точева-Клопова,899982023,melaniya.tocheva-klopova@abv.bg,NexaTech | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-12-17,,a trainer,,,,730851689
"December 23, 2021 19:30","December 23, 2021 20:20",Сиена,Дачев,883299555,siena.dachev@gmail.com,BlueNova | Leadership training in person | Тренинг за лидери на живо,Иван Тодоров | Ivan Todorov,0,no,0,,,2021-12-17,,a client ,BlueNova,s.dachev@bluenova.com,,730853299
"December 27, 2021 19:00","December 27, 2021 19:50",Преса,Куртакова,882122882,presa.kurtakova@mail.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,София Димитрова | Sofia Dimitrova,0,no,0,,,2021-12-22,,a client ,BlueNova,p.kurtakova@bluenova.com,Zoom,733872522
"December 28, 2021 13:00","December 28, 2021 13:50",Берислав,Иликьов,899982102,berislav.ilikaov@mail.bg,Spark Innovations: Online leadership training | Онлайн тренинг за лидери,Радослава Димитрова | Radoslava Dimitrova,0,no,0,,,2021-12-23,,a client ,Spark Innovations,b.ilikaov@spark.innovations.com,Viber,734816644
"December 28, 2021 18:00","December 28, 2021 18:50",Преса,Куртакова,882122882,presa.kurtakova@mail.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,София Димитрова | Sofia Dimitrova,0,no,0,,,2021-12-25,,a client ,BlueNova,p.kurtakova@bluenova.com,Zoom,735390511
"December 29, 2021 18:00","December 29, 2021 18:50",Сиена,Дачев,883299555,siena.dachev@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Иван Тодоров | Ivan Todorov,0,no,0,,,2021-12-17,,a client ,BlueNova,s.dachev@bluenova.com,,730854116
"December 31, 2021 15:00","December 31, 2021 15:50",Робърт,Ждраков,895183328,robart.zhdrakov@yahoo.com,iNdigo | Nexern | Conzap: Онлайн тренинг за лидери | Online leadership training,София Димитрова | Sofia Dimitrova,0,no,0,,,2021-12-29,,a client ,iNdigo,r.zhdrakov@indigo.com,Zoom,737466038
"January 4, 2022 10:00","January 4, 2022 10:50",India,Mccullough,353811259302,india.mccullough@yandex.ru,iNdigo | Nexern | Conzap: Онлайн тренинг за лидери | Online leadership training,Веселин Стефанов | Veselin Stefanov,0,no,0,,,2021-12-15,,a client ,iNdigo,i.mccullough@indigo.com,Skype,729640673
"January 4, 2022 12:00","January 4, 2022 12:50",Ясер,Симеонов,881911221,yaser.simeonov@abv.bg,Spark Innovations: Leadership training in person | Тренинг за лидери на живо,Камен Георгиев | Kamen Georgiev,0,no,0,,,2021-12-23,,a client ,Spark Innovations,y.simeonov@spark.innovations.com,,734506081
"January 4, 2022 13:00","January 4, 2022 13:50",Jaydin,Todd,883522500,jaydin.todd@yahoo.co.uk,BlueNova: Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-12-16,,client logged in asjaydin.todd@yahoo.co.uk,BlueNova,j.todd@bluenova.com,Zoom,730083356
"January 4, 2022 14:00","January 4, 2022 14:50",Сташа,Балахуров,893210120,stasha.balaxurov@mail.bg,BlueNova: Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-12-29,,hello@test.jp,,,,737547713
"January 4, 2022 16:00","January 4, 2022 16:50",Деспот,Мераков,899858552,despot.merakov@abv.bg,iNdigo | Nexern | Conzap: Онлайн тренинг за лидери | Online leadership training,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-12-17,,a client ,iNdigo,d.merakov@indigo.com,Skype,730842814
"January 4, 2022 19:30","January 4, 2022 20:20",Сифоня,Васовa,,sifonya.vasova@yahoo.com,Онлайн коучинг,Теодора Йорданова | Teodora Yordanova,0,no,0,,,2021-12-20,,a trainer,,,,732616289
"January 5, 2022 10:30","January 5, 2022 11:20",Кис,Коритарова,882228908,kis.koritarova@yahoo.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,,0,no,0,,,2021-12-26,,a client ,BlueNova,kis.koritarova@yahoo.com,Zoom,735705763
"January 5, 2022 19:00","January 5, 2022 19:50",Charlie,Santana,889238292,charlie.santana@msn.com,BlueNova | Leadership training in person | Тренинг за лидери на живо,Мария Георгиева | Maria Georgieva,0,no,0,,,2021-12-09,,a trainer,,,,725789208
"January 6, 2022 15:00","January 6, 2022 15:50",Панделис,Каракашев,883331511,pandelis.karakashev@yahoo.com,BlueNova | Leadership training in person | Тренинг за лидери на живо,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-12-16,,client logged in aspandelis.karakashev@yahoo.com,BlueNova,p.karakashev@bluenova.com,,730172495
"January 6, 2022 18:00","January 6, 2022 18:50",Сиена,Дачев,883299555,siena.dachev@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Иван Тодоров | Ivan Todorov,0,no,0,,,2022-01-04,,a client ,BlueNova,s.dachev@bluenova.com,Viber,741271443
"January 6, 2022 19:00","January 6, 2022 19:50",Angel,Harper,819210112,angel.harper@gmail.com,BlueNova | Leadership training in person | Тренинг за лидери на живо,Теодора Йорданова | Teodora Yordanova,0,no,0,,,2021-12-10,,client logged in asangel.harper@gmail.com,BlueNova,a.harper@bluenova.com,,726430759
"January 10, 2022 13:30","January 10, 2022 14:20",Кис,Коритарова,882228908,kis.koritarova@yahoo.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,,0,no,0,,,2021-12-26,,a client ,BlueNova,kis.koritarova@yahoo.com,Zoom,735706202
"January 10, 2022 16:00","January 10, 2022 16:50",Инан,Таралингова,,inan.taralingova@abv.bg,Онлайн коучинг,Теодора Йорданова | Teodora Yordanova,0,no,0,,,2022-01-09,,a trainer,,,,745329933
"January 10, 2022 18:30","January 10, 2022 19:20",Захарин,Вампирска,895511012,zaxarin.vampirska@abv.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,Александър Иванов | Aleksandar Ivanov,0,no,0,,,2022-01-08,,a client ,BlueNova,z.vampirska@bluenova.com,Zoom,744734754
"January 10, 2022 19:00","January 10, 2022 19:50",Rex,Ortega,899225322,rex.ortega@yandex.ru,BlueNova | Leadership training in person | Тренинг за лидери на живо,Мария Георгиева | Maria Georgieva,0,no,0,,,2021-12-16,,a trainer,,,,730130562
"January 11, 2022 9:00","January 11, 2022 9:50",Берислава,Ждраков,882081213,berislava.zhdrakov@gmail.com,Spark Innovations: Leadership training in person | Тренинг за лидери на живо,Веселин Стефанов | Veselin Stefanov,0,no,0,,,2022-01-05,,a client ,Spark Innovations,b.zhdrakov@spark.innovations.com,,742244528
"January 11, 2022 10:00","January 11, 2022 10:50",India,Mccullough,353811259302,india.mccullough@yandex.ru,iNdigo | Nexern | Conzap: Онлайн тренинг за лидери | Online leadership training,Веселин Стефанов | Veselin Stefanov,0,no,0,,,2022-01-04,,a client ,iNdigo,i.mccullough@indigo.com,Skype,741303456
"January 11, 2022 16:00","January 11, 2022 16:50",Фильо,Кривошапкова,883380203,filao.krivoshapkova@mail.bg,Vortex | Online leadership training | Онлайн тренинг за лидери,Жана Иванова | Zhana Ivanova,0,no,0,,,2022-01-10,,a client ,Vortex,f.krivoshapkova@vortex.com,Zoom,745780801
"January 12, 2022 9:00","January 12, 2022 9:50",Ясер,Симеонов,359881911221,yaser.simeonov@abv.bg,Spark Innovations: Online leadership training | Онлайн тренинг за лидери,Камен Георгиев | Kamen Georgiev,0,no,0,,,2022-01-04,,a client ,Spark Innovations,y.simeonov@spark.innovations.com,"Zoom, Viber",741575482
"January 12, 2022 15:00","January 12, 2022 15:50",Jayvon,Crane,818182591,jayvon.crane@yahoo.co.uk,BlueNova | Online leadership training | Онлайн тренинг за лидери,Валентинка Петкова | Valentinaka Petkova,0,no,0,,,2022-01-06,,a client ,BlueNova,j.crane@bluenova.com,Viber,743122678
"January 12, 2022 17:00","January 12, 2022 17:50",Боила,Пачаръзка,889100302,boila.pacharazka@mail.bg,Vortex | Leadership training in person | Тренинг за лидери на живо,Димитър Петров | Dimitar Petrov,0,no,0,,,2022-01-06,,a client ,Vortex,boila.pacharazka@mail.bg,,743120867
"January 12, 2022 17:10","January 12, 2022 18:00",Сиена,Дачев,883299555,siena.dachev@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Иван Тодоров | Ivan Todorov,0,no,0,,,2022-01-10,,a trainer,,,,745706955
"January 12, 2022 18:00","January 12, 2022 18:50",Мерилин,Таралингова,811139112,merilin.taralingova@abv.bg,BlueNova | Leadership training in person | Тренинг за лидери на живо,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-12-23,,a client ,BlueNova,m.taralingova@bluenova.com,,734519590
"January 13, 2022 11:00","January 13, 2022 11:50",Юстин,Таралингова,818231313,yustin.taralingova@gmail.com,Vortex | Online leadership training | Онлайн тренинг за лидери,Александър Иванов | Aleksandar Ivanov,0,no,0,,,2022-01-08,,a client ,Vortex,y.taralingova@vortex.com,Zoom,744899761
"January 13, 2022 14:00","January 13, 2022 14:50",Чанкете,Тодоров,819182552,chankete.todorov@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Александър Иванов | Aleksandar Ivanov,0,no,0,,,2022-01-05,,a client ,BlueNova,c.todorov@bluenova.com,Zoom,742312634
"January 13, 2022 15:00","January 13, 2022 15:50",Панделис,Каракашев,883331511,pandelis.karakashev@yahoo.com,BlueNova | Leadership training in person | Тренинг за лидери на живо,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-12-16,,client logged in aspandelis.karakashev@yahoo.com,BlueNova,p.karakashev@bluenova.com,,730173375
"January 13, 2022 17:00","January 13, 2022 17:50",Jayvon,Kelley,2911282251281,jayvon.kelley@msn.com,iNdigo | Nexern | Conzap: Онлайн тренинг за лидери | Online leadership training,Александър Иванов | Aleksandar Ivanov,0,no,0,,,2022-01-07,,a client ,iNdigo,j.kelley@indigo.com,Zoom,744244499
"January 13, 2022 19:00","January 13, 2022 19:50",Angel,Harper,819210112,angel.harper@gmail.com,BlueNova | Leadership training in person | Тренинг за лидери на живо,Теодора Йорданова | Teodora Yordanova,0,no,0,,,2022-01-11,,client logged in asangel.harper@gmail.com,BlueNova,a.harper@bluenova.com,,746592622
"January 14, 2022 13:00","January 14, 2022 13:50",Ергана,Тодорова,883221210,ergana.todorova@yahoo.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Александър Иванов | Aleksandar Ivanov,0,no,0,,,2022-01-10,,a client ,BlueNova,ergana.todorova@yahoo.com,Zoom,745687394
"January 14, 2022 13:30","January 14, 2022 14:20",Кис,Коритарова,882228908,kis.koritarova@yahoo.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,,0,no,0,,,2021-12-26,,a client ,BlueNova,kis.koritarova@yahoo.com,Zoom,735706568
"January 14, 2022 14:00","January 14, 2022 14:50",Aurora,Owens,2915181032213,aurora.owens@gmail.com,iNdigo | Nexern | Conzap: Онлайн тренинг за лидери | Online leadership training,Александър Иванов | Aleksandar Ivanov,0,no,0,,,2022-01-11,,a client ,iNdigo,a.owens@indigo.com,Skype,746811950
"January 14, 2022 19:00","January 14, 2022 19:50",Тотю,Балканска,882230221,totyu.balkanska@abv.bg,Vortex | Online leadership training | Онлайн тренинг за лидери,Христина Димитрова | Hristina Dimitrova,0,no,0,,,2022-01-12,,a client ,Vortex,t.balkanska@vortex.com,Zoom,747522685
"January 15, 2022 19:30","January 15, 2022 20:20",Ярчо,Първанова,881322108,yarcho.parvanova@abv.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,София Димитрова | Sofia Dimitrova,0,no,0,,,2022-01-14,,a client ,BlueNova,y.parvanova@bluenova.com,Viber,749119535
"January 17, 2022 8:00","January 17, 2022 8:50",Sawyer,Stanley,882523200,sawyer.stanley@msn.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Георги Михайлов | Georgi Mihaylov,0,no,0,,,2022-01-13,,a client ,BlueNova,s.stanley@bluenova.com,Viber,748312404
"January 17, 2022 11:00","January 17, 2022 11:50",Хитко,Мангъфова,883219221,xitko.mangafova@abv.bg,BlueNova: Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-12-01,,client logged in asxitko.mangafova@abv.bg,BlueNova,x.mangafova@bluenova.com,Zoom,720126863
"January 17, 2022 12:00","January 17, 2022 12:50",Филипас,Луланков,892922999,filipas.lulankov@yahoo.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Камен Георгиев | Kamen Georgiev,0,no,0,,,2022-01-11,,a client ,BlueNova,filipas.lulankov@yahoo.com,Zoom,746632053
"January 17, 2022 13:30","January 17, 2022 14:20",Кис,Коритарова,882228908,kis.koritarova@yahoo.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,,0,no,0,,,2022-01-06,,a client ,BlueNova,kis.koritarova@yahoo.com,Zoom,743206837
"January 17, 2022 15:00","January 17, 2022 15:50",Инан,Таралингова,,inan.taralingova@abv.bg,Онлайн коучинг,Теодора Йорданова | Teodora Yordanova,0,no,0,,,2022-01-14,,a trainer,,,,749095295
"January 17, 2022 15:30","January 17, 2022 16:20",Тотю,Балканска,882230221,totyu.balkanska@abv.bg,Vortex | Online leadership training | Онлайн тренинг за лидери,Христина Димитрова | Hristina Dimitrova,0,no,0,,,2022-01-14,,a client ,Vortex,t.balkanska@vortex.com,Zoom,749291265
"January 17, 2022 16:00","January 17, 2022 16:50",Биню,Пройкова,818320118,binyu.projkova@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Александър Иванов | Aleksandar Ivanov,0,no,0,,,2022-01-14,,a client ,BlueNova,binyu.projkova@gmail.com,"Zoom, Skype",749060766
"January 17, 2022 18:30","January 17, 2022 19:20",Захарин,Вампирска,895511012,zaxarin.vampirska@abv.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,Александър Иванов | Aleksandar Ivanov,0,no,0,,,2022-01-08,,a client ,BlueNova,z.vampirska@bluenova.com,Zoom,744735100
"January 17, 2022 19:00","January 17, 2022 19:50",Rex,Ortega,899225322,rex.ortega@yandex.ru,BlueNova | Leadership training in person | Тренинг за лидери на живо,Мария Георгиева | Maria Georgieva,0,no,0,,,2022-01-04,,a trainer,,,,741327973
"January 17, 2022 19:30","January 17, 2022 20:20",Йоланд,Шкембова,895252902,joland.shkembova@mail.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,Александър Иванов | Aleksandar Ivanov,0,no,0,,,2022-01-13,,a client ,BlueNova,j.shkembova@bluenova.com,Viber,748360426
"January 18, 2022 9:00","January 18, 2022 9:50",Берислава,Ждраков,882081213,berislava.zhdrakov@gmail.com,Spark Innovations: Leadership training in person | Тренинг за лидери на живо,Веселин Стефанов | Veselin Stefanov,0,no,0,,,2022-01-11,,a client ,Spark Innovations,b.zhdrakov@spark.innovations.com,,746647332
"January 18, 2022 13:00","January 18, 2022 13:50",Сташа,Балахуров,893210120,stasha.balaxurov@mail.bg,BlueNova: Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-12-29,,hello@test.jp,,,,737547714
"January 18, 2022 14:00","January 18, 2022 14:50",Царевна,Чупетловска,891202521,carevna.chupetlovska@gmail.com,BlueNova: Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-12-21,,hello@test.jp,,,,733121019
"January 18, 2022 15:00","January 18, 2022 15:50",Деспот,Мераков,899858552,despot.merakov@abv.bg,iNdigo | Nexern | Conzap: Онлайн тренинг за лидери | Online leadership training,Димитър Петров | Dimitar Petrov,0,no,0,,,2022-01-10,,a client ,iNdigo,d.merakov@indigo.com,Viber,745685850
"January 19, 2022 10:00","January 19, 2022 10:50",India,Mccullough,353811259302,india.mccullough@yandex.ru,iNdigo | Nexern | Conzap: Онлайн тренинг за лидери | Online leadership training,Веселин Стефанов | Veselin Stefanov,0,no,0,,,2022-01-13,,a client ,iNdigo,i.mccullough@indigo.com,Skype,748431040
"January 19, 2022 12:00","January 19, 2022 12:50",Итан,Габровлиева,898828280,itan.gabrovlieva@gmail.com,Vortex | Online leadership training | Онлайн тренинг за лидери,Веселин Стефанов | Veselin Stefanov,0,no,0,,,2022-01-17,,a client ,Vortex,i.gabrovlieva@vortex.com,Zoom,750620702
"January 19, 2022 18:00","January 19, 2022 18:50",Астромерия,Чанлиева,,astromeriya.chanlieva@mail.bg,Онлайн коучинг,Теодора Йорданова | Teodora Yordanova,0,no,0,,,2022-01-10,,a trainer,,,,745801799
"January 19, 2022 18:00","January 19, 2022 18:50",Мерилин,Таралингова,811139112,merilin.taralingova@abv.bg,BlueNova | Leadership training in person | Тренинг за лидери на живо,Димитър Петров | Dimitar Petrov,0,no,0,,,2022-01-12,,a client ,BlueNova,m.taralingova@bluenova.com,,747448402
"January 20, 2022 12:00","January 20, 2022 12:50",Темира,Кривошапкова,,temira.krivoshapkova@abv.bg,Онлайн коучинг,Теодора Йорданова | Teodora Yordanova,0,no,0,,,2022-01-17,,a trainer,,,,750676948
"January 20, 2022 14:00","January 20, 2022 14:50",Чанкете,Тодоров,819182552,chankete.todorov@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Александър Иванов | Aleksandar Ivanov,0,no,0,,,2022-01-13,,a client ,BlueNova,c.todorov@bluenova.com,Viber,748332788
"January 20, 2022 15:00","January 20, 2022 15:50",Панделис,Каракашев,883331511,pandelis.karakashev@yahoo.com,BlueNova | Leadership training in person | Тренинг за лидери на живо,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-12-16,,client logged in aspandelis.karakashev@yahoo.com,BlueNova,p.karakashev@bluenova.com,,730173470
"January 20, 2022 15:00","January 20, 2022 15:50",Юстин,Таралингова,818231313,yustin.taralingova@gmail.com,Vortex | Online leadership training | Онлайн тренинг за лидери,Александър Иванов | Aleksandar Ivanov,0,no,0,,,2022-01-17,,a client ,Vortex,yustin.taralingova@gmail.com,Zoom,750747944
"January 20, 2022 19:00","January 20, 2022 19:50",Захарин,Вампирска,895511012,zaxarin.vampirska@abv.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,Александър Иванов | Aleksandar Ivanov,0,no,0,,,2022-01-18,,a client ,BlueNova,z.vampirska@bluenova.com,Zoom,751376638
"January 21, 2022 13:00","January 21, 2022 13:50",Diya,Murphy,882583992,diya.murphy@yandex.ru,Vortex | Online leadership training | Онлайн тренинг за лидери,Александър Иванов | Aleksandar Ivanov,0,no,0,,,2022-01-20,,a client ,Vortex,d.murphy@vortex.com,Zoom,752955238
"January 21, 2022 13:30","January 21, 2022 14:20",Кис,Коритарова,882228908,kis.koritarova@yahoo.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,,0,no,0,,,2021-12-26,,a client ,BlueNova,kis.koritarova@yahoo.com,Zoom,735707192
"January 21, 2022 17:00","January 21, 2022 17:50",Krystal,Arellano,883258500,krystal.arellano@yahoo.co.uk,BlueNova | Leadership training in person | Тренинг за лидери на живо,Александър Иванов | Aleksandar Ivanov,0,no,0,,,2022-01-14,,a client ,BlueNova,k.arellano@bluenova.com,,749078487
"January 21, 2022 18:00","January 21, 2022 18:50",Сиена,Дачев,883299555,siena.dachev@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Иван Тодоров | Ivan Todorov,0,no,0,,,2022-01-19,,a client ,BlueNova,s.dachev@bluenova.com,Viber,752278823
"January 21, 2022 21:00","January 21, 2022 21:50",Славил,Катърова,881322108,slavil.katarova@abv.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,София Димитрова | Sofia Dimitrova,0,no,0,,,2022-01-17,,a client ,BlueNova,s.katarova@bluenova.com,Viber,750622348
"January 22, 2022 14:00","January 22, 2022 14:50",Преса,Куртакова,882122882,presa.kurtakova@mail.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,София Димитрова | Sofia Dimitrova,0,no,0,,,2022-01-20,,a client ,BlueNova,p.kurtakova@bluenova.com,Zoom,753257662
"January 24, 2022 10:00","January 24, 2022 10:50",Царевна,Чупетловска,891202521,carevna.chupetlovska@gmail.com,BlueNova: Leadership training | Тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-11-01,,a client ,BlueNova,carevna.chupetlovska@gmail.com,,701003817
"January 24, 2022 12:00","January 24, 2022 12:50",Биню,Пройкова,818320118,binyu.projkova@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Александър Иванов | Aleksandar Ivanov,0,no,0,,,2022-01-20,,a client ,BlueNova,binyu.projkova@gmail.com,Zoom,753021609
"January 24, 2022 12:00","January 24, 2022 12:50",Инан,Таралингова,,inan.taralingova@abv.bg,Онлайн коучинг,Теодора Йорданова | Teodora Yordanova,0,no,0,,,2022-01-21,,a trainer,,,,753705794
"January 24, 2022 14:00","January 24, 2022 14:50",Цола,Мустакова,888003913,cola.mustakova@yahoo.com,Vortex | Leadership training in person | Тренинг за лидери на живо,Теодора Йорданова | Teodora Yordanova,0,no,0,,,2022-01-21,,a client ,Vortex,c.mustakova@vortex.com,,753713852
"January 24, 2022 15:00","January 24, 2022 15:50",Jaydin,Todd,883522500,jaydin.todd@yahoo.co.uk,BlueNova: Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-12-16,,client logged in asjaydin.todd@yahoo.co.uk,BlueNova,j.todd@bluenova.com,Zoom,730083545
"January 24, 2022 15:00","January 24, 2022 15:50",Ергана,Тодорова,883221210,ergana.todorova@yahoo.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Александър Иванов | Aleksandar Ivanov,0,no,0,,,2022-01-10,,a client ,BlueNova,ergana.todorova@yahoo.com,Zoom,745689655
"January 24, 2022 15:30","January 24, 2022 16:20",Тотю,Балканска,882230221,totyu.balkanska@abv.bg,Vortex | Online leadership training | Онлайн тренинг за лидери,Христина Димитрова | Hristina Dimitrova,0,no,0,,,2022-01-17,,a client ,Vortex,t.balkanska@vortex.com,Zoom,750741866
"January 24, 2022 18:30","January 24, 2022 19:20",Захарин,Вампирска,895511012,zaxarin.vampirska@abv.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,Александър Иванов | Aleksandar Ivanov,0,no,0,,,2022-01-08,,a client ,BlueNova,z.vampirska@bluenova.com,Zoom,744735348
"January 24, 2022 19:00","January 24, 2022 19:50",Rex,Ortega,899225322,rex.ortega@yandex.ru,BlueNova | Online leadership training | Онлайн тренинг за лидери,Мария Георгиева | Maria Georgieva,0,no,0,,,2022-01-11,,a trainer,,,,747146743
"January 24, 2022 19:30","January 24, 2022 20:20",Jasiah,Barry,895252902,jasiah.barry@yandex.ru,BlueNova | Online leadership training | Онлайн тренинг за лидери,Александър Иванов | Aleksandar Ivanov,0,no,0,,,2022-01-18,,a client ,BlueNova,j.barry@bluenova.com,Viber,751379339
"January 25, 2022 9:00","January 25, 2022 9:50",Филипас,Луланков,892922999,filipas.lulankov@yahoo.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Камен Георгиев | Kamen Georgiev,0,no,0,,,2022-01-17,,a client ,BlueNova,filipas.lulankov@yahoo.com,Zoom,750687165
"January 25, 2022 9:00","January 25, 2022 9:50",Берислава,Ждраков,882081213,berislava.zhdrakov@gmail.com,Spark Innovations: Leadership training in person | Тренинг за лидери на живо,Веселин Стефанов | Veselin Stefanov,0,no,0,,,2022-01-18,,a client ,Spark Innovations,b.zhdrakov@spark.innovations.com,,751430331
"January 25, 2022 11:00","January 25, 2022 11:50",India,Mccullough,353811259302,india.mccullough@yandex.ru,iNdigo | Nexern | Conzap: Онлайн тренинг за лидери | Online leadership training,Веселин Стефанов | Veselin Stefanov,0,no,0,,,2022-01-20,,a client ,iNdigo,i.mccullough@indigo.com,Skype,752977692
"January 25, 2022 13:30","January 25, 2022 14:20",Сташа,Балахуров,893210120,stasha.balaxurov@mail.bg,BlueNova: Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-12-29,,hello@test.jp,,,,737547715
"January 25, 2022 14:30","January 25, 2022 15:20",Хитко,Мангъфова,883219221,xitko.mangafova@abv.bg,BlueNova: Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-12-01,,client logged in asxitko.mangafova@abv.bg,BlueNova,x.mangafova@bluenova.com,Zoom,720127083
"January 25, 2022 15:00","January 25, 2022 15:50",Юлия,Чупетловска,818553208,yuliya.chupetlovska@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2022-01-17,,a client ,BlueNova,y.chupetlovska@bluenova.com,"Zoom, Skype",750612200
"January 26, 2022 12:00","January 26, 2022 12:50",Gary,Butler,898828280,gary.butler@gmail.com,Vortex | Online leadership training | Онлайн тренинг за лидери,Веселин Стефанов | Veselin Stefanov,0,no,0,,,2022-01-17,,a client ,Vortex,g.butler@vortex.com,Zoom,750624592
"January 26, 2022 12:00","January 26, 2022 12:50",Маню,Мангъфова,811201002,manyu.mangafova@mail.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,Валентинка Петкова | Valentinaka Petkova,0,no,0,,,2022-01-21,,a client ,BlueNova,m.mangafova@bluenova.com,"Zoom, Viber",753743891
